Seq_id	Size	Description
1	2821361	gi|88193823|ref|NC_007795.1|
2	50855	contig_1
3	103	contig_2
4	48744	contig_3
5	53139	contig_4
6	39940	contig_5
7	231	contig_6
8	239	contig_7
9	195	contig_8
10	311	contig_9
11	246	contig_10
12	269	contig_11
13	230	contig_12
14	227	contig_13
15	96177	contig_14
16	98876	contig_15
17	21837	contig_16
18	49300	contig_17
19	61301	contig_18
20	28101	contig_19
21	25247	contig_20
22	24971	contig_21
23	148445	contig_22
24	38300	contig_23
25	21454	contig_24
26	39519	contig_25
27	19065	contig_26
28	94341	contig_27
29	98530	contig_28
30	17257	contig_29
31	27289	contig_30
32	16052	contig_31
33	15764	contig_32
34	19172	contig_33
35	14032	contig_34
36	20977	contig_35
37	13555	contig_36
38	19478	contig_37
39	86723	contig_38
40	12454	contig_39
41	21061	contig_40
42	11590	contig_41
43	16002	contig_42
44	10374	contig_43
45	9693	contig_44
46	9619	contig_45
47	8984	contig_46
48	8712	contig_47
49	373	contig_48
50	8670	contig_49
51	7972	contig_50
52	7107	contig_51
53	8744	contig_52
54	5823	contig_53
55	10427	contig_54
56	46173	contig_55
57	5506	contig_56
58	5360	contig_57
59	5474	contig_58
60	365	contig_59
61	4406	contig_60
62	5199	contig_61
63	6972	contig_62
64	3499	contig_63
65	3028	contig_64
66	4048	contig_65
67	3943	contig_66
68	88127	contig_67
69	2409	contig_68
70	2522	contig_69
71	586	contig_70
72	2187	contig_71
73	1421	contig_72
74	1268	contig_73
75	899	contig_74
76	3268	contig_75
77	1752	contig_76
78	638	contig_77
79	454	contig_78
80	428	contig_79
81	773	contig_80
82	198	contig_81
83	800	contig_82
84	623	contig_83
85	621	contig_84
86	1019	contig_85
87	751	contig_86
88	1446	contig_87
89	249	contig_88
90	189	contig_89
91	175	contig_90
92	174	contig_91
93	133319	contig_92
94	291	contig_93
95	484	contig_94
96	948	contig_95
97	473	contig_96
98	154	contig_97
99	333	contig_98
100	508	contig_99
101	248	contig_100
102	457	contig_101
103	770	contig_102
104	82538	contig_103
105	144	contig_104
106	140	contig_105
107	80460	contig_106
108	131	contig_107
109	130	contig_108
110	127	contig_109
111	342	contig_110
112	670	contig_111
113	124	contig_112
114	122	contig_113
115	40650	contig_114
116	122	contig_115
117	122	contig_116
118	121	contig_117
119	119	contig_118
120	119	contig_119
121	119	contig_120
122	119	contig_121
123	119	contig_122
124	319	contig_123
125	145512	contig_124
126	119	contig_125
127	119	contig_126
128	119	contig_127
129	119	contig_128
130	38280	contig_129
131	119	contig_130
132	118	contig_131
133	118	contig_132
134	118	contig_133
135	118	contig_134
136	110599	contig_135
137	118	contig_136
138	117	contig_137
139	117	contig_138
140	302	contig_139
141	117	contig_140
142	52101	contig_141
143	117	contig_142
144	116	contig_143
145	116	contig_144
146	116	contig_145
147	47398	contig_146
148	115	contig_147
149	115	contig_148
150	115	contig_149
151	115	contig_150
152	112	contig_151
153	447	contig_152
154	110	contig_153
155	110	contig_154
156	110	contig_155
157	110	contig_156
158	40036	contig_157
159	108	contig_158
160	107	contig_159
161	104	contig_160
162	104	contig_161
163	293	contig_162
164	104	contig_163
165	104	contig_164
166	102	contig_165
167	102	contig_166
168	101	contig_167
169	53826	contig_168
170	101	contig_169
171	101	contig_170
172	335	contig_171
173	101	contig_172
174	289	contig_173
175	100	contig_174
176	35174	contig_175
177	276	contig_176
178	241	contig_177
179	239	contig_178
180	121222	contig_179
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81	Seq 82	Seq 83	Seq 84	Seq 85	Seq 86	Seq 87	Seq 88	Seq 89	Seq 90	Seq 91	Seq 92	Seq 93	Seq 94	Seq 95	Seq 96	Seq 97	Seq 98	Seq 99	Seq 100	Seq 101	Seq 102	Seq 103	Seq 104	Seq 105	Seq 106	Seq 107	Seq 108	Seq 109	Seq 110	Seq 111	Seq 112	Seq 113	Seq 114	Seq 115	Seq 116	Seq 117	Seq 118	Seq 119	Seq 120	Seq 121	Seq 122	Seq 123	Seq 124	Seq 125	Seq 126	Seq 127	Seq 128	Seq 129	Seq 130	Seq 131	Seq 132	Seq 133	Seq 134	Seq 135	Seq 136	Seq 137	Seq 138	Seq 139	Seq 140	Seq 141	Seq 142	Seq 143	Seq 144	Seq 145	Seq 146	Seq 147	Seq 148	Seq 149	Seq 150	Seq 151	Seq 152	Seq 153	Seq 154	Seq 155	Seq 156	Seq 157	Seq 158	Seq 159	Seq 160	Seq 161	Seq 162	Seq 163	Seq 164	Seq 165	Seq 166	Seq 167	Seq 168	Seq 169	Seq 170	Seq 171	Seq 172	Seq 173	Seq 174	Seq 175	Seq 176	Seq 177	Seq 178	Seq 179	Seq 180
2	85	96.11%	93.95%	99.97%	0.00%	99.99%	99.41%	99.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	99.19%	99.89%	99.99%	100.00%	95.05%	99.89%	100.00%	99.92%	100.00%	98.90%	96.42%	99.94%	99.99%	99.99%	96.64%	100.00%	99.97%	100.00%	99.96%	100.00%	99.77%	100.00%	100.00%	99.97%	100.00%	95.83%	100.00%	99.98%	100.00%	99.95%	100.00%	99.77%	100.00%	0.00%	100.00%	100.00%	96.83%	79.68%	99.73%	100.00%	99.23%	99.56%	99.37%	99.74%	0.00%	99.91%	97.15%	99.84%	100.00%	97.32%	99.43%	98.50%	100.00%	100.00%	100.00%	0.00%	100.00%	100.00%	99.21%	0.00%	87.52%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.98%	0.00%	0.00%	99.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.60%	0.00%	0.00%	0.00%	0.00%	99.94%	0.00%	0.00%	0.00%	0.00%	0.00%	98.65%	0.00%	0.00%	0.00%	0.00%	0.00%	99.67%	0.00%	0.00%	0.00%	0.00%	100.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.31%	0.00%	0.00%	0.00%	97.74%	
